segment_index,timestamp,primary_label,infrastructure_type,infrastructure_category,is_infrastructure_boolean,corresponding_gps_index,start_time,end_time,segment_length,segment_duration_sec,distance_to_infrastructure_m,gps_latitude,gps_longitude,gps_speed_kmh,folder_source,labeling_method
0,0.0,Normal Track,Normal Track,Normal Track,False,0,0.0,10.0,5000,10,100.61859398652076,60.7135866,15.0289631,140.636993408203,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
1,10.0,Normal Track,Normal Track,Normal Track,False,200,10.0,20.0,5000,10,116.49383461151938,60.722997,15.015278,97.1990051269531,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
2,20.0,RailJoint,RailJoint,Infrastructure,True,400,20.0,30.0,5000,10,30.363552111108987,60.7301465,15.0059131,70.0780029296875,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
3,30.0,RailJoint,RailJoint,Infrastructure,True,600,30.0,40.0,5000,10,2.8570927041774574,60.7342746,15.0031865,1.29499995708466,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
4,40.0,RailJoint,RailJoint,Infrastructure,True,800,40.0,50.0,5000,10,9.37381215632727,60.7343238,15.0030068,0.0,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
5,50.0,Turnout,Turnout,Infrastructure,True,1000,50.0,60.0,5000,10,69.77540667674019,60.7361018,15.0016008,35.4090003967285,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
6,60.0,Normal Track,Normal Track,Normal Track,False,1200,60.0,70.0,5000,10,304.26324779700815,60.7430028,15.0041666,98.4570007324219,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
7,70.0,Normal Track,Normal Track,Normal Track,False,1400,70.0,80.0,5000,10,263.1345656050446,60.7501031,15.01741,100.603004455566,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
8,80.0,Normal Track,Normal Track,Normal Track,False,1579,80.0,90.0,5000,10,363.3329875950388,60.7606946,15.0172665,124.338500976562,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
9,90.0,Normal Track,Normal Track,Normal Track,False,1779,90.0,100.0,5000,10,431.03919244339176,60.7742636,15.017711,142.172500610352,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
10,100.0,Normal Track,Normal Track,Normal Track,False,1979,100.0,110.0,5000,10,173.4219135608594,60.7880736,15.0222833,128.926498413086,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
11,110.0,Normal Track,Normal Track,Normal Track,False,2179,110.0,120.0,5000,10,166.36782450479248,60.7994628,15.0154846,122.692001342773,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
12,120.0,Normal Track,Normal Track,Normal Track,False,2379,120.0,130.0,5000,10,433.2017684876985,60.8109358,15.0092738,104.525001525879,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
13,130.0,Normal Track,Normal Track,Normal Track,False,2579,130.0,140.0,5000,10,274.03783661875343,60.8186845,15.0107706,65.6009979248047,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
14,140.0,Normal Track,Normal Track,Normal Track,False,2779,140.0,150.0,5000,10,264.01202434435186,60.8200065,15.0152065,7.5479998588562,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
15,150.0,Normal Track,Normal Track,Normal Track,False,2979,150.0,160.0,5000,10,248.45731781246184,60.8199356,15.0157958,21.2565002441406,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
16,160.0,Normal Track,Normal Track,Normal Track,False,3179,160.0,170.0,5000,10,265.06986695639097,60.8217866,15.0242323,77.4410018920898,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
17,170.0,Normal Track,Normal Track,Normal Track,False,3378,170.0,180.0,5000,10,708.2492548124384,60.8249666,15.0453045,127.224494934082,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
18,180.0,Normal Track,Normal Track,Normal Track,False,3578,180.0,190.0,5000,10,466.73130680218975,60.8314716,15.0674468,115.069999694824,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
19,190.0,Bridge,Bridge,Infrastructure,True,3778,190.0,200.0,5000,10,91.94158832084428,60.8352538,15.0853601,88.1340026855469,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
20,200.0,Normal Track,Normal Track,Normal Track,False,3978,200.0,210.0,5000,10,614.3404713788137,60.8427728,15.0943191,99.1230010986328,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
21,210.0,Normal Track,Normal Track,Normal Track,False,4178,210.0,220.0,5000,10,404.70085572965564,60.8543056,15.0960665,114.55199432373,2024-12-12 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
