segment_index,timestamp,primary_label,infrastructure_type,infrastructure_category,is_infrastructure_boolean,corresponding_gps_index,start_time,end_time,segment_length,segment_duration_sec,distance_to_infrastructure_m,gps_latitude,gps_longitude,gps_speed_kmh,folder_source,labeling_method
0,0.0,Normal Track,Normal Track,Normal Track,False,0,0.0,10.0,5000,10,305.20117483293615,60.7224613,15.0187076,106.763496398926,2024-12-10 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
1,10.0,Normal Track,Normal Track,Normal Track,False,200,10.0,20.0,5000,10,223.26668006567309,60.7122325,15.0341495,139.934005737305,2024-12-10 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
2,20.0,Normal Track,Normal Track,Normal Track,False,400,20.0,30.0,5000,10,162.58749724155052,60.7020481,15.0531783,138.52799987793,2024-12-10 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
3,30.0,Normal Track,Normal Track,Normal Track,False,600,30.0,40.0,5000,10,161.10076908603963,60.6912385,15.0699098,132.977996826172,2024-12-10 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
4,40.0,Normal Track,Normal Track,Normal Track,False,800,40.0,50.0,5000,10,394.757726275264,60.6830653,15.0836975,63.1775016784668,2024-12-10 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
5,50.0,Bridge,Bridge,Infrastructure,True,1000,50.0,60.0,5000,10,103.77553940926785,60.6807205,15.0889781,20.2760009765625,2024-12-10 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
6,60.0,Normal Track,Normal Track,Normal Track,False,1200,60.0,70.0,5000,10,134.76380783971373,60.679961,15.0905885,7.95500040054321,2024-12-10 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
7,70.0,Normal Track,Normal Track,Normal Track,False,1400,70.0,80.0,5000,10,99.66247173859976,60.6788533,15.092467,37.9435005187988,2024-12-10 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
8,80.0,RailJoint,RailJoint,Infrastructure,True,1600,80.0,90.0,5000,10,54.89540907403355,60.6752423,15.0955975,16.2245006561279,2024-12-10 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
9,90.0,Normal Track,Normal Track,Normal Track,False,1800,90.0,100.0,5000,10,69.63635159350875,60.6747461,15.0953706,0.0185000002384186,2024-12-10 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
10,100.0,Normal Track,Normal Track,Normal Track,False,2000,100.0,110.0,5000,10,142.0155263221818,60.674128,15.0958701,29.8035011291504,2024-12-10 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
11,110.0,RailJoint,RailJoint,Infrastructure,True,2200,110.0,120.0,5000,10,28.128103633642226,60.6703185,15.0998118,69.8929977416992,2024-12-10 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
12,120.0,Normal Track,Normal Track,Normal Track,False,2400,120.0,130.0,5000,10,237.47315268398165,60.6609766,15.102671,115.273506164551,2024-12-10 12-00-00 (1),adaptive_thresholds_Bridge_150m_Turnout_90m_RailJoint_60m
